,Team ID,Nickname,Year Founded,Team New ID,Team ID_drop,Team Name,Abbreviation,Nickname_drop,Team City,Team State,Year Founded_drop,Team ID_drop,Abbreviation_drop,Nickname_drop,Year Founded_drop,Team City_drop,Arena,Area Capacity,Owner,General Manager,Head Coach,Development League Affliation,Facebook,Instagram,Twitter,Team ID_drop,Team City_drop,Nickname_drop,Year Founded_drop,Team Active Until
14,1610612751,Nets,1976,b45afb566488a7b2fa412184d6228e4b,1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976.0,1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,,Joe Tsai,Sean Marks,Steve Nash,Long Island Nets,https://www.facebook.com/BrooklynNets,https://instagram.com/brooklynnets,https://twitter.com/BrooklynNets,1610612751,New York,Nets,1976,1976
15,1610612752,Knicks,1946,e1eb70890e469c4e797936747512518f,1610612752,New York Knicks,NYK,Knicks,New York,New York,1946.0,1610612752,NYK,Knicks,1946,New York,Madison Square Garden,19763.0,Cablevision (James Dolan),Leon Rose,Tom Thibodeau,Westchester Knicks,https://www.facebook.com/NYKnicks,https://instagram.com/nyknicks,https://twitter.com/nyknicks,1610612752,New York,Knicks,1946,2019
16,1610612753,Magic,1989,25bd3363d2d873f93a02fabb09e5164c,1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989.0,1610612753,ORL,Magic,1989,Orlando,Amway Center,0.0,Rick DeVos,John Hammond,Steve Clifford,Lakeland Magic,https://www.facebook.com/OrlandoMagic,https://instagram.com/orlandomagic,https://twitter.com/OrlandoMagic,1610612753,Orlando,Magic,1989,2019
17,1610612754,Pacers,1976,ebef27c87fb44a1e942242ff07b0d815,1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976.0,1610612754,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,18345.0,Herb Simon,Kevin Pritchard,Nate Bjorkgren,Fort Wayne Mad Ants,https://www.facebook.com/pacers,https://instagram.com/pacers,https://twitter.com/Pacers,1610612754,Indiana,Pacers,1976,2019
18,1610612755,76ers,1949,4b5cbc87e64f6410758b19626bbc739e,1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0,1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Doc Rivers,Delaware Blue Coats,https://www.facebook.com/Sixers,https://instagram.com/sixers,https://twitter.com/Sixers,,,,,
19,1610612756,Suns,1968,c7414351eef62a4f4cd2710d21f07301,1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968.0,1610612756,PHX,Suns,1968,Phoenix,Phoenix Suns Arena,,Robert Sarver,James Jones,Monty Williams,Northern Arizona Suns,https://www.facebook.com/suns,https://instagram.com/suns,https://twitter.com/Suns,1610612756,Phoenix,Suns,1968,2019
20,1610612757,Trail Blazers,1970,13a89b0ed0874b7098bd61d7ba87fc12,1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970.0,1610612757,POR,Trail Blazers,1970,Portland,Moda Center,19980.0,Paul Allen,Neil Olshey,Terry Stotts,No Affiliate,https://www.facebook.com/trailblazers,https://instagram.com/trailblazers,https://twitter.com/trailblazers,1610612757,Portland,Trail Blazers,1970,2019
21,1610612758,Kings,1948,792b205587333093fc1c55c13f81abea,1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948.0,1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,17500.0,Vivek Ranadive,Monte McNair,Luke Walton,Stockton Kings,https://www.facebook.com/sacramentokings,https://instagram.com/sacramentokings,https://twitter.com/SacramentoKings,,,,,
22,1610612759,Spurs,1976,f0d230d1a4787427dfb8b723e0baa430,1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976.0,1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs,https://www.facebook.com/Spurs,https://instagram.com/spurs,https://twitter.com/spurs,1610612759,San Antonio,Spurs,1976,2019
23,1610612760,Thunder,1967,e3b05c71ca4bd7599c53ad9f011c9946,1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967.0,1610612760,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue,https://www.facebook.com/OKCThunder,https://instagram.com/okcthunder,https://twitter.com/okcthunder,,,,,
